elecro_idx,trial_idx,sub_trial_idx,B1_P,B1_RP,B2_P,B2_RP,B3_P,B3_RP,B4_P,B4_RP,B5_P,B5_RP
0,1,0,0.0,0.0,0.0,0.0,14.860000397563246,0.011668911405406863,1.319482108192945,0.0010361318579808214,0.12902739653719106,0.00010131959749541283
0,1,1,0.0,0.0,0.0,0.0,16.998580068599797,0.030482655493913373,2.3095396212174917,0.00414157537506102,0.16587041274070025,0.00029744664717895294
0,1,2,0.0,0.0,0.0,0.0,7.4005295165128056,0.019948729336078833,0.8281732990406593,0.002232408498481934,0.22836295464526365,0.0006155709213024295
0,1,3,0.0,0.0,0.0,0.0,4.862521354125014,0.007245592960545068,0.7513986925531395,0.0011196514484624767,0.15730538436739372,0.00023439913218300309
0,1,4,0.0,0.0,0.0,0.0,8.63709541141424,0.026290483335732064,0.8376155453070943,0.002549620733209026,0.38127172621988614,0.0011605542705158576
0,1,5,0.0,0.0,0.0,0.0,8.410270895333934,0.024930225692120958,0.8137000559879863,0.0024120181494661002,0.29153819847936063,0.0008641948846139077
0,1,6,0.0,0.0,0.0,0.0,10.123036520330503,0.02427172378505816,1.5909070391077227,0.003814473665424124,0.3571131060475436,0.0008562401856994556
0,1,7,0.0,0.0,0.0,0.0,5.79537134929228,0.012930465600258232,2.723991262372698,0.006077690831289953,0.22371961872671775,0.0004991567683409924
0,1,8,0.0,0.0,0.0,0.0,7.221252895990511,0.012200952920382256,2.1931610474582524,0.0037055418321814623,0.2788329175349299,0.0004711131639476898
0,1,9,0.0,0.0,0.0,0.0,9.807596343384576,0.01266580711839636,1.720372778088156,0.0022217380300018183,0.7067603546229062,0.0009127302977371452
0,1,10,0.0,0.0,0.0,0.0,8.098974076417443,0.021952957824863013,1.4979957295990702,0.004060444787626739,0.26343983059596415,0.0007140760590038184
0,1,11,0.0,0.0,0.0,0.0,5.548895857718905,0.012637439319040825,0.9146547401865825,0.0020830979844218473,0.1891661828303569,0.0004308201519781198
0,1,12,0.0,0.0,0.0,0.0,8.242330481812694,0.061220386530920344,0.7773924404803597,0.005774127329332272,0.23013300569627448,0.001709326214635103
0,1,13,0.0,0.0,0.0,0.0,8.520482495195623,0.026954423208062767,1.1178995997615653,0.0035364592243558625,0.32093786714231354,0.001015282303475741
0,1,14,0.0,0.0,0.0,0.0,7.36978673664941,0.0237955360485484,0.9134939803332656,0.002949485475754038,0.505719448025117,0.0016328648013775135
0,3,0,0.0,0.0,0.0,0.0,8.86971622899648,0.022844255498339686,1.8720071821247894,0.004821418099418045,0.32066506861809596,0.0008258837788921238
0,3,1,0.0,0.0,0.0,0.0,20.97882272107914,0.04664938665541371,1.3626433315490916,0.0030300306405175075,0.3951436355941402,0.0008786578964097726
0,3,2,0.0,0.0,0.0,0.0,12.444020895667908,0.032071654312340915,0.5961193211729857,0.001536362961606967,0.2913440980141445,0.0007508736344780059
0,3,3,0.0,0.0,0.0,0.0,8.606623365460358,0.01257459381085463,0.8965005854413892,0.0013098203830272826,0.5358103425185757,0.0007828386500407289
0,3,4,0.0,0.0,0.0,0.0,10.77140334531035,0.011359508940260764,1.4436285283344583,0.0015224488999542034,0.18861250615460823,0.00019891052086923116
0,3,5,0.0,0.0,0.0,0.0,9.70276183627996,0.008697338656888973,1.3911764551021752,0.001247019453396465,0.5890663386732883,0.0005280258884288475
0,3,6,0.0,0.0,0.0,0.0,10.122562668826086,0.007223805756693827,1.9420605161336935,0.0013859205811092609,0.09519204333954431,6.793228682943734e-05
0,3,7,0.0,0.0,0.0,0.0,7.386960050600835,0.029860987288690462,1.0227773363305424,0.0041344667942048614,0.15668470949805982,0.0006333809965945552
0,3,8,0.0,0.0,0.0,0.0,5.91272035884152,0.012992652706310963,0.8077800653216998,0.0017750215154539045,0.2553265662847854,0.0005610563667995073
0,3,9,0.0,0.0,0.0,0.0,7.42958102609198,0.006088797251169359,1.31032637803618,0.0010738575460315092,0.40676676203243023,0.00033335935550498963
0,3,10,0.0,0.0,0.0,0.0,9.009965159042848,0.007354325913846467,1.1739768364702419,0.0009582510163253271,0.3651403762764286,0.0002980434756449892
0,3,11,0.0,0.0,0.0,0.0,5.660413968733257,0.007571649187754818,0.9971363081828035,0.0013338187559491816,0.28413683243647925,0.00038007545533111473
0,3,12,0.0,0.0,0.0,0.0,5.8771738643737725,0.002658498493461309,1.6070363643631922,0.0007269316600441104,0.20726487502866847,9.375481663921703e-05
0,3,13,0.0,0.0,0.0,0.0,12.754743811174219,0.0024448558424191675,2.0903874842839953,0.0004006898240789624,0.19435214597987657,3.725382388075265e-05
0,3,14,0.0,0.0,0.0,0.0,2.513693781036844,0.0019334937928874839,0.6854628983517346,0.0005272473000554068,0.465314279632309,0.00035791243873781675
0,4,0,0.0,0.0,0.0,0.0,4.048370386085462,0.007873943207095032,1.0667088639017601,0.002074712590956596,0.13040483837213168,0.0002536329913887716
0,4,1,0.0,0.0,0.0,0.0,12.382399758016652,0.02627112148177805,2.0726143301382534,0.004397362701578421,0.33753895880334017,0.0007161396146828795
0,4,2,0.0,0.0,0.0,0.0,9.25832153966626,0.030643795647497654,1.8319207393502817,0.00606341058026015,0.3983498240172403,0.0013184841929610705
